"name","pos","sourceName","season","positionRank","overallRank","points","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp"
"PHILIPRIVERS","QB",NA,2015,9,68,11.018,37.4,25.7,11.7,301,2.2,1.2,1.2,2.9,0,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMBRADFORD","QB",NA,2015,10,69,11.004,39.6,25.8,13.8,288,1.6,0.9,2.4,6.2,0,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JULIUSTHOMAS","TE","espn",2015,8,83,10.98,0,0,0,0,0,0,0,0,0,4.4,47.8,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB",NA,2015,11,70,10.936,37.2,26.3,10.9,286,1.9,0.7,1.2,4.2,0,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","espn",2015,16,84,10.914,36.8,23.4,13.4,272.5,2.1,0.9,1.6,2.3,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRANKGORE","RB",NA,2015,25,71,10.91,NA,NA,NA,NA,NA,NA,15,49.8,0.4,2,12.3,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MELVINGORDON","RB",NA,2015,26,72,10.91,NA,NA,NA,NA,NA,NA,13.8,58.3,0.3,2,10.8,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROBERTWOODS","WR",NA,2015,30,73,10.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,50.4,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LARRYDONNELL","TE","espn",2015,9,85,10.82,0,0,0,0,0,0,0,0,0,3.9,45.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GARYBARNIDGE","TE",NA,2015,7,74,10.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,52.1,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB","espn",2015,17,86,10.792,29.5,17.8,11.7,220.7,2.1,0.6,4.4,12.8,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","espn",2015,18,87,10.782,38.8,23.1,15.7,254.7,1.6,1.1,2.2,10.3,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARVINJONES","WR","espn",2015,37,88,10.78,0,0,0,0,0,0,0.7,4.3,0,3.3,46.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUEBENRANDLE","WR",NA,2015,31,75,10.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,53.3,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","espn",2015,19,89,10.722,36,23.1,12.9,276.2,2.1,0.7,1.5,2.9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZACHERTZ","TE","espn",2015,10,90,10.72,0,0,0,0,0,0,0,0,0,3.9,50.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KARLOSWILLIAMS","RB",NA,2015,27,76,10.71,NA,NA,NA,NA,NA,NA,9.7,44.5,0.5,1.5,12.6,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KIRKCOUSINS","QB","espn",2015,20,91,10.662,40.6,25,15.6,290.1,1.2,1.3,1,3.1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","espn",2015,21,92,10.616,33.3,20.9,12.4,242.1,1.3,0.9,2.5,11.8,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAMESJONES","WR",NA,2015,32,77,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,45,0.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUEBENRANDLE","WR","espn",2015,38,93,10.6,0,0,0,0,0,0,0,0,0,3.7,51,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TJYELDON","RB","espn",2015,25,94,10.59,0,0,0,0,0,0,12.6,39.1,0.1,3,24.8,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAMEISWINSTON","QB","espn",2015,22,95,10.55,31,19.1,11.9,230.4,1.6,1.2,3.9,12.7,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KENDALLGASKINS","RB",NA,2015,28,78,10.55,NA,NA,NA,NA,NA,NA,11.7,45.1,0.3,2,17.4,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHARLESSIMS","RB",NA,2015,29,79,10.49,NA,NA,NA,NA,NA,NA,6.9,28,0.1,2.8,32.9,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JEREMYLANGFORD","RB",NA,2015,30,80,10.49,NA,NA,NA,NA,NA,NA,10.1,49.9,0.3,1.9,13,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALLENHURNS","WR",NA,2015,33,81,10.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,49.8,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARVINJONES","WR",NA,2015,34,82,10.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,43.2,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUSTINSEFERIANJENKINS","TE","espn",2015,11,96,10.37,0,0,0,0,0,0,0,0,0,3.6,43.7,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEVEJOHNSON","WR",NA,2015,35,83,10.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,46.7,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PEYTONMANNING","QB",NA,2015,12,84,10.368,39.8,24.9,14.9,292,1.7,1.4,1.1,2.2,0,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAMEISWINSTON","QB",NA,2015,13,85,10.346,31.1,18.6,12.5,240,1.4,1.4,2.9,10.9,0.2,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHARLESSIMS","RB","espn",2015,26,97,10.34,0,0,0,0,0,0,8.5,34.1,0.2,2.8,23.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DUKEJOHNSON","RB",NA,2015,31,86,10.2,NA,NA,NA,NA,NA,NA,6.5,27.4,0.1,3.2,31.6,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CJANDERSON","RB",NA,2015,32,87,10.16,NA,NA,NA,NA,NA,NA,10.8,45.9,0.2,2.1,17.7,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JASONWITTEN","TE",NA,2015,8,88,10.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,44.4,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIKEWALLACE","WR",NA,2015,36,89,10.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,47.5,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTONIOANDREWS","RB",NA,2015,33,90,10.03,NA,NA,NA,NA,NA,NA,10.8,54.4,0.3,1.4,14.9,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
