"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","points","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds"
"JERICKMCKINNON","RB","espn","Jerick McKinnon","MIN",59,264,"1.2",0,0,0,0,0,4.1,18.5,0,0.5,4.2,0
"QUINTONPATTON","WR","espn","Quinton Patton","SF",89,265,"1.2",0,0,0,0,0,0,0,0,0.9,10.4,0
"CHARLESJOHNSON","WR","espn","Charles Johnson","MIN",90,266,"1.2",0,0,0,0,0,0,0,0,1,15,0
"MARCUSMURPHY","RB","espn","Marcus Murphy","NO",60,267,"0.7",0,0,0,0,0,0.8,3.4,0,0.8,6.5,0
"GAVINESCOBAR","TE","espn","Gavin Escobar","DAL",40,268,"0.6",0,0,0,0,0,0,0,0,0.8,8.8,0.1
"BRANDENOLIVER","RB","espn","Branden Oliver","SD",61,269,"0.5",0,0,0,0,0,2.1,8.7,0,0.8,7,0
"JOSHHUFF","WR","espn","Josh Huff","PHI",91,270,"0.5",0,0,0,0,0,0,0,0,0.8,9.3,0
"JEFFCUMBERLAND","TE","espn","Jeff Cumberland","NYJ",41,271,"0.5",0,0,0,0,0,0,0,0,0.6,7.7,0.1
"KADEEMCAREY","RB","espn","Ka'Deem Carey","CHI",62,272,"0.4",0,0,0,0,0,2.1,9.8,0.1,0.6,4.6,0
"FOZZYWHITTAKER","RB","espn","Fozzy Whittaker","CAR",63,273,"0.4",0,0,0,0,0,0.6,2.1,0,1.1,8.3,0
"BRANDONCOLEMAN","WR","espn","Brandon Coleman","NO",92,274,"0.4",0,0,0,0,0,0,0,0,0.6,9.9,0.1
"ADAMHUMPHRIES","WR","espn","Adam Humphries","TB",93,275,"0.4",0,0,0,0,0,0,0,0,0.7,9.3,0.1
"LEESMITH","TE","espn","Lee Smith","OAK",42,276,"0.4",0,0,0,0,0,0,0,0,0.8,9,0.1
"BRANDONMYERS","TE","espn","Brandon Myers","TB",43,277,"0.4",0,0,0,0,0,0,0,0,0.7,7.7,0.1
