"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","points","pointsLo","pointsHi","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp"
"ADAMVINATIERI","K","IND","espn","Adam Vinatieri",8,2015,2,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.7,2.1
"ADIKUNALIC","K","FA","average","Adi Kunalic",9,2015,3,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADIKUNALIC","K","FA","averageRobust","Adi Kunalic",9,2015,3,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADIKUNALIC","K","FA","averageWeighted","Adi Kunalic",9,2015,3,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADIKUNALIC","K","FA","espn","Adi Kunalic",9,2015,3,332,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADRIANPETERSON","RB","MIN","average","Adrian Peterson",10,2015,10,22,14.38,13.99,14.77,0,0,0,0,0,0,19.05,84.75,0.35,2.35,17.55,0,0.3,0,0,0,0,0,0,0,0,0,0
"ADRIANPETERSON","RB","MIN","averageRobust","Adrian Peterson",10,2015,10,22,14.38,13.99,14.77,0,0,0,0,0,0,19.05,84.75,0.35,2.35,17.55,0,0.3,0,0,0,0,0,0,0,0,0,0
"ADRIANPETERSON","RB","MIN","averageWeighted","Adrian Peterson",10,2015,10,22,14.38,13.99,14.77,0,0,0,0,0,0,19.05,84.75,0.35,2.35,17.55,0,0.3,0,0,0,0,0,0,0,0,0,0
"ADRIANPETERSON","RB","MIN","cbs","Adrian Peterson",10,2015,6,18,14.77,13.99,14.77,NA,NA,NA,NA,NA,NA,18.9,81,0.5,2.4,15.7,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADRIANPETERSON","RB","MIN","espn","Adrian Peterson",10,2015,13,32,13.99,13.99,14.77,0,0,0,0,0,0,19.2,88.5,0.2,2.3,19.4,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AHMADBRADSHAW","RB","IND","average","Ahmad Bradshaw",11,2015,48,172,5.275,5.15,5.4,0,0,0,0,0,0,4.3,15.65,0.15,1.35,9.6,0.1,0.1,0,0,0,0,0,0,0,0,0,0
"AHMADBRADSHAW","RB","IND","averageRobust","Ahmad Bradshaw",11,2015,48,172,5.275,5.15,5.4,0,0,0,0,0,0,4.3,15.65,0.15,1.35,9.6,0.1,0.1,0,0,0,0,0,0,0,0,0,0
"AHMADBRADSHAW","RB","IND","averageWeighted","Ahmad Bradshaw",11,2015,48,172,5.275,5.15,5.4,0,0,0,0,0,0,4.3,15.65,0.15,1.35,9.6,0.1,0.1,0,0,0,0,0,0,0,0,0,0
"AHMADBRADSHAW","RB","IND","cbs","Ahmad Bradshaw",11,2015,53,183,5.15,5.15,5.4,NA,NA,NA,NA,NA,NA,4.8,16.2,0.2,1.1,7.3,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AHMADBRADSHAW","RB","IND","espn","Ahmad Bradshaw",11,2015,45,164,5.4,5.15,5.4,0,0,0,0,0,0,3.8,15.1,0.1,1.6,11.9,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AJFEELEY","QB","FA","average","A.J. Feeley",12,2015,56,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AJFEELEY","QB","FA","averageRobust","A.J. Feeley",12,2015,56,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AJFEELEY","QB","FA","averageWeighted","A.J. Feeley",12,2015,56,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AJFEELEY","QB","FA","espn","A.J. Feeley",12,2015,54,333,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AJGREEN","WR","CIN","average","A.J. Green",13,2015,6,8,17.82,17.45,18.19,0,0,0,0,0,0,0,0,0,5.5,84.2,0.65,0,0,0,0,0,0,0,0,0,0,0
"AJGREEN","WR","CIN","averageRobust","A.J. Green",13,2015,6,8,17.82,17.45,18.19,0,0,0,0,0,0,0,0,0,5.5,84.2,0.65,0,0,0,0,0,0,0,0,0,0,0
"AJGREEN","WR","CIN","averageWeighted","A.J. Green",13,2015,6,8,17.82,17.45,18.19,0,0,0,0,0,0,0,0,0,5.5,84.2,0.65,0,0,0,0,0,0,0,0,0,0,0
"AJGREEN","WR","CIN","cbs","A.J. Green",13,2015,6,9,18.19,17.45,18.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,87.9,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
